timestamp,ridlserver02,ridlserver04,ridlserver05,ridlserver11,ridlserver12,total_watts
2026-03-10T13:26:40.356+00:00,181,204,140,98,160,783
2026-03-10T13:26:41.356+00:00,174,198,140,96,159,767
2026-03-10T13:26:42.356+00:00,173,213,141,96,160,783
2026-03-10T13:26:43.356+00:00,173,200,139,97,161,770
2026-03-10T13:26:44.356+00:00,173,211,139,95,159,777
2026-03-10T13:26:45.352+00:00,177,203,138,95,160,773
2026-03-10T13:26:46.356+00:00,180,201,139,96,159,775
2026-03-10T13:26:47.352+00:00,178,210,139,99,159,785
2026-03-10T13:26:48.356+00:00,181,203,140,99,159,782
2026-03-10T13:26:49.352+00:00,180,209,140,96,158,783
2026-03-10T13:26:50.701+00:00,180,206,140,95,158,779
2026-03-10T13:26:51.704+00:00,179,197,139,98,160,773
2026-03-10T13:26:52.701+00:00,178,212,140,97,160,787
2026-03-10T13:26:53.701+00:00,179,207,139,97,161,783
2026-03-10T13:26:54.981+00:00,180,212,139,97,160,788
2026-03-10T13:26:55.981+00:00,180,197,140,96,160,773
2026-03-10T13:26:56.981+00:00,180,179,141,96,160,756
2026-03-10T13:26:57.981+00:00,180,155,140,96,160,731
2026-03-10T13:26:58.981+00:00,180,142,139,94,160,715
2026-03-10T13:26:59.981+00:00,180,143,141,96,160,720
2026-03-10T13:27:01.000+00:00,180,143,139,95,161,718
2026-03-10T13:27:02.000+00:00,180,165,139,96,160,740
2026-03-10T13:27:03.000+00:00,179,167,139,97,161,743
2026-03-10T13:27:04.000+00:00,180,164,140,97,160,741
2026-03-10T13:27:05.000+00:00,181,161,140,95,160,737
2026-03-10T13:27:06.000+00:00,179,159,139,95,161,733
2026-03-10T13:27:07.000+00:00,180,159,140,95,160,734
2026-03-10T13:27:08.000+00:00,179,160,140,99,160,738
2026-03-10T13:27:09.000+00:00,180,160,139,95,159,733
2026-03-10T13:27:10.000+00:00,179,158,139,94,159,729
2026-03-10T13:27:11.000+00:00,178,161,139,95,160,733
2026-03-10T13:27:12.000+00:00,180,164,139,95,161,739
2026-03-10T13:27:13.000+00:00,178,160,141,96,160,735
2026-03-10T13:27:14.000+00:00,179,157,140,96,160,732
2026-03-10T13:27:15.000+00:00,180,158,140,96,160,734
2026-03-10T13:27:16.000+00:00,179,161,139,94,160,733
2026-03-10T13:27:17.000+00:00,180,166,139,95,160,740
2026-03-10T13:27:18.000+00:00,180,164,140,95,160,739
2026-03-10T13:27:19.000+00:00,180,164,139,94,162,739
2026-03-10T13:27:20.000+00:00,180,167,139,95,161,742
2026-03-10T13:27:21.000+00:00,180,155,140,98,160,733
2026-03-10T13:27:22.000+00:00,179,161,139,96,159,734
2026-03-10T13:27:23.000+00:00,180,162,140,97,161,740
2026-03-10T13:27:24.000+00:00,178,161,140,95,160,734
2026-03-10T13:27:25.000+00:00,179,163,139,95,157,733
2026-03-10T13:27:26.000+00:00,179,159,140,94,157,729
2026-03-10T13:27:27.000+00:00,179,156,140,101,159,735
2026-03-10T13:27:28.000+00:00,180,158,140,98,160,736
2026-03-10T13:27:29.000+00:00,179,159,140,95,159,732
2026-03-10T13:27:30.000+00:00,180,164,138,95,158,735
2026-03-10T13:27:31.347+00:00,179,165,141,97,161,743
2026-03-10T13:27:32.631+00:00,180,160,139,97,161,737
2026-03-10T13:27:33.631+00:00,179,154,140,97,159,729
2026-03-10T13:27:34.631+00:00,179,165,139,95,160,738
2026-03-10T13:27:35.631+00:00,178,159,138,95,159,729
2026-03-10T13:27:36.631+00:00,180,160,140,97,161,738
2026-03-10T13:27:37.631+00:00,179,160,140,98,160,737
2026-03-10T13:27:38.647+00:00,179,160,139,98,159,735
2026-03-10T13:27:39.647+00:00,180,161,140,96,159,736
2026-03-10T13:27:40.647+00:00,180,162,138,97,159,736
2026-03-10T13:27:41.647+00:00,178,160,141,96,160,735
2026-03-10T13:27:42.647+00:00,179,165,140,95,160,739
2026-03-10T13:27:43.647+00:00,181,162,140,97,160,740
2026-03-10T13:27:44.647+00:00,179,161,138,97,160,735
2026-03-10T13:27:45.647+00:00,180,158,138,95,160,731
2026-03-10T13:27:46.647+00:00,180,160,140,96,160,736
2026-03-10T13:27:47.647+00:00,180,159,140,95,160,734
2026-03-10T13:27:48.647+00:00,182,160,140,95,161,738
2026-03-10T13:27:49.647+00:00,180,160,139,96,160,735
2026-03-10T13:27:50.647+00:00,180,163,139,97,159,738
2026-03-10T13:27:51.647+00:00,181,153,142,97,161,734
2026-03-10T13:27:52.647+00:00,180,164,139,96,161,740
2026-03-10T13:27:53.647+00:00,180,160,140,94,160,734
2026-03-10T13:27:54.647+00:00,179,158,139,95,160,731
2026-03-10T13:27:55.647+00:00,180,164,139,95,160,738
